mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0								Langsamundsehrleise	71.0			1.0				
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0								𝅘𝅥.=40	60.0	𝅘𝅥.	40.0	0.0				
1	1	0	0	0.0	0	0	Dynamic	3/8	2	1	0							p									
1	1	0	0	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	0										0			
1	1	3/4	3/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	1										0			
1	1	0	0	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	2													
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	3													
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	4													
1	1	0	0	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	5													
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16	1/16	1	6													
1	1	1	1	0.25	1/4	1/4	Chord	3/8	3	1	1/16	1/16	1	7													
1	1	5/4	5/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16	1/16	1	8													
2	2	3/2	3/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	9										0			
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	10													
2	2	3/2	3/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	11													
2	2	7/4	7/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	12													
2	2	2	2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	13													
2	2	9/4	9/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16	1/16	1	14													
2	2	5/2	5/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16	1/16	1	15													
2	2	11/4	11/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16	1/16	1	16													
3	3	3	3	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	17										1			
3	3	15/4	15/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	18										1			
3	3	3	3	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	19													
3	3	13/4	13/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	20													
3	3	7/2	7/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	21													
3	3	3	3	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	22													
3	3	15/4	15/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16	1/16	1	23													
3	3	4	4	0.25	1/4	1/4	Chord	3/8	3	1	1/16	1/16	1	24													
3	3	17/4	17/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16	1/16	1	25													
4	4	9/2	9/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	26										1			
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	27													
4	4	9/2	9/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	28													
4	4	19/4	19/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	29													
4	4	5	5	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	30													
4	4	9/2	9/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	31													
4	4	21/4	21/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16	1/16	1	32													
4	4	11/2	11/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16	1/16	1	33													
4	4	23/4	23/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16	1/16	1	34													
5	5	6	6	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	35										2			
5	5	27/4	27/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	36										2			
5	5	6	6	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	37													
5	5	25/4	25/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	38													
5	5	13/2	13/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	39													
5	5	6	6	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	40													
5	5	27/4	27/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16	1/16	1	41													
5	5	7	7	0.25	1/4	1/4	Chord	3/8	3	1	1/16	1/16	1	42													
5	5	29/4	29/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16	1/16	1	43													
6	6	15/2	15/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	44										2			
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	45													
6	6	15/2	15/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	46													
6	6	31/4	31/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	47													
6	6	8	8	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	48													
6	6	15/2	15/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	49													
6	6	33/4	33/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16	1/16	1	50													
6	6	17/2	17/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16	1/16	1	51													
6	6	35/4	35/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16	1/16	1	52													
7	7	9	9	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	53										3			
7	7	39/4	39/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	54										3			
7	7	9	9	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	55													
7	7	37/4	37/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	56													
7	7	19/2	19/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	57													
7	7	9	9	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	58													
7	7	39/4	39/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16	1/16	1	59													
7	7	10	10	0.25	1/4	1/4	Chord	3/8	3	1	1/16	1/16	1	60													
7	7	41/4	41/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16	1/16	1	61													
8	8	23/2	23/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	62	1. Ge-												
8	8	21/2	21/2	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	63										3			
8	8	45/4	45/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	64													
8	8	21/2	21/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	65													
8	8	43/4	43/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	66													
8	8	11	11	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	67													
8	8	21/2	21/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	68													
8	8	45/4	45/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16	1/16	1	69													
8	8	23/2	23/2	0.25	1/4	1/4	Chord	3/8	3	1	1/16	1/16	1	70													
8	8	47/4	47/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16	1/16	1	71													
9	9	12	12	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	72	-hei-	schreit	lei-										
9	9	13	13	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	73	-mes	ich	-se										
9	9	12	12	0.0	0	0	Dynamic	3/8	2	1	0							pp									
9	9	12	12	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	74										4			
9	9	51/4	51/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	75										4			
9	9	12	12	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	76													
9	9	49/4	49/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	77													
9	9	25/2	25/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	78													
9	9	51/4	51/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	79													
9	9	13	13	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	80													
9	9	53/4	53/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	81													
9	9	12	12	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	82													
10	10	27/2	27/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	83	Flü-	in	mich										
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	84	-stern	den	um-										
10	10	27/2	27/2	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	85										4			
10	10	57/4	57/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	86													
10	10	27/2	27/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	87													
10	10	55/4	55/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	88													
10	10	14	14	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	89													
10	10	57/4	57/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	90													
10	10	29/2	29/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	91													
10	10	59/4	59/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	92													
11	11	15	15	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	93	hier	Wald	-schwebt,										
11	11	16	16	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	94	und	hin-	um-										
11	11	15	15	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	95										5			
11	11	63/4	63/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	96										5			
11	11	15	15	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	97													
11	11	61/4	61/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	98													
11	11	31/2	31/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	99													
11	11	63/4	63/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	100													
11	11	16	16	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	101													
11	11	65/4	65/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	102													
11	11	15	15	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	103													
12	12	33/2	33/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	104	dort,	-aus,	-klingt,										
12	12	33/2	33/2	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	105										5			
12	12	69/4	69/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	106													
12	12	33/2	33/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	107													
12	12	67/4	67/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	108													
12	12	17	17	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	109													
12	12	69/4	69/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	110													
12	12	35/2	35/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	111													
12	12	71/4	71/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	112													
13	13	19	19	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	113	ver-	da	ich										
13	13	18	18	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	114													
13	13	75/4	75/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	115													
13	13	18	18	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	116													
13	13	73/4	73/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	117													
13	13	37/2	37/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	118													
13	13	75/4	75/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	119													
13	13	19	19	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	120													
13	13	77/4	77/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	121													
13	13	18	18	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	122													
14	14	39/2	39/2	0.0	0	0	Spanner	3/8	1	1	0															0	
14	14	39/2	39/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	123	-borg'-	grü-	will									0	
14	14	41/2	41/2	0.0	1/4	1/4	Spanner	3/8	1	1	0																
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	124	-nes	-ssen	es										
14	14	39/2	39/2	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	125													
14	14	81/4	81/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	126													
14	14	39/2	39/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	127													
14	14	79/4	79/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	128													
14	14	20	20	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	129													
14	14	81/4	81/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	130													
14	14	41/2	41/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	131													
14	14	83/4	83/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	132													
15	15	21	21	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	133	Quel-	mich	treu										
15	15	22	22	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	134	-len-	die	be-										
15	15	21	21	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	135										6			
15	15	22	22	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	136										6			
15	15	21	21	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	137													
15	15	85/4	85/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	138													
15	15	43/2	43/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	139													
15	15	87/4	87/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	140													
15	15	22	22	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	141													
15	15	89/4	89/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	142													
15	15	21	21	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	143													
16	16	45/2	45/2	0.0	0	0	Spanner	3/8	1	1	0														0		
16	16	45/2	45/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	144	-rau-	Bäu-	-wah-								0		
16	16	47/2	47/2	0.0	1/4	1/4	Spanner	3/8	1	1	0																
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	145	-schen,	-me	-ren,										
16	16	45/2	45/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	146										6			
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	147													
16	16	45/2	45/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	148													
16	16	91/4	91/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	149													
16	16	23	23	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	150													
16	16	93/4	93/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	151													
16	16	47/2	47/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	152													
16	16	95/4	95/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	153													
17	17	25	25	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	154	o	du	und										
17	17	24	24	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	155										7			
17	17	24	24	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	156													
17	17	97/4	97/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	157													
17	17	49/2	49/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	158													
17	17	99/4	99/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	159													
17	17	25	25	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	160													
17	17	101/4	101/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	161													
17	17	24	24	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	162													
18	18	51/2	51/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	163	Wald,	lie-	was										
18	18	53/2	53/2	0.0	1/4	1/4	Spanner	3/8	1	1	0																0
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	164	o	-bes	mir										0
18	18	51/2	51/2	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	165										8			
18	18	105/4	105/4	0.0	3/16	3/16	Spanner	3/8	2	1	0													8			1
18	18	51/2	51/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	166													1
18	18	103/4	103/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	167													1
18	18	26	26	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	168													1
18	18	105/4	105/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	169													1
18	18	53/2	53/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	170													1
18	18	107/4	107/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	171													1
18	18	51/2	51/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	172													
19	19	27	27	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	173	Wald	frei-	tief										0
19	19	27	27	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	174										9			1
19	19	27	27	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	175													1
19	19	109/4	109/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	176													1
19	19	55/2	55/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	177													1
19	19	111/4	111/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	178													1
19	19	28	28	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	179													1
19	19	113/4	113/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	180													1
19	19	27	27	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	181													
20	20	57/2	57/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	182													0
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	183	ge-	-es	zum										0
20	20	57/2	57/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	184										10			1
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	185										10			1
20	20	57/2	57/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	186													1
20	20	115/4	115/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	187													1
20	20	29	29	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	188													1
20	20	117/4	117/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	189													1
20	20	59/2	59/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	190													1
20	20	119/4	119/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	191													1
20	20	57/2	57/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	192													
21	21	30	30	0.0	0	0	Dynamic	3/8	1	1	0							mf									
21	21	30	30	0.0	0	0	Spanner	3/8	1	1	0																
21	21	30	30	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	193	-weih-	Got-	Her-										
21	21	30	30	0.0	0	0	Dynamic	3/8	2	1	0							mf									
21	21	30	30	0.0	0	0	Spanner	3/8	2	1	0																
21	21	30	30	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	194										11			
21	21	30	30	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	195													
21	21	121/4	121/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	196													
21	21	61/2	61/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	197													
21	21	123/4	123/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	198													
21	21	31	31	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	199													
21	21	125/4	125/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	200													
21	21	30	30	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	201													
22	22	63/2	63/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	202	-ter	-tes-	-zen										
22	22	63/2	63/2	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	203										12			
22	22	63/2	63/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	204													
22	22	127/4	127/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	205													
22	22	32	32	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	206													
22	22	129/4	129/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	207													
22	22	65/2	65/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	208													
22	22	131/4	131/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	209													
23	23	33	33	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	210	Ort,	-haus,	dringt,										
23	23	33	33	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	211										13			
23	23	33	33	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	212													
23	23	133/4	133/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	213													
23	23	67/2	67/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	214													
23	23	135/4	135/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	215													
23	23	34	34	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	216													
23	23	137/4	137/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	217													
23	23	33	33	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	218													
24	24	69/2	69/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	219													
24	24	69/2	69/2	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	220										14			
24	24	139/4	139/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	221										14			
24	24	35	35	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	222										14			
24	24	141/4	141/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	223										14			
24	24	71/2	71/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	224										14			
24	24	143/4	143/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	225													
25	25	37	37	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	226	lass	du	will										
25	25	36	36	0.0	0	0	Dynamic	3/8	2	1	0							p									
25	25	36	36	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	227										15			
25	25	36	36	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	228													
25	25	145/4	145/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	229													
25	25	73/2	73/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	230													
25	25	147/4	147/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	231													
25	25	37	37	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	232													
25	25	149/4	149/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	233													
25	25	36	36	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	234													
26	26	75/2	75/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	235	mich	schlie-	ich,										
26	26	77/2	77/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	236	des	-ssest	vom										
26	26	75/2	75/2	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	237										16			
26	26	75/2	75/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	238													
26	26	151/4	151/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	239													
26	26	38	38	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	240													
26	26	153/4	153/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	241													
26	26	77/2	77/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	242													
26	26	155/4	155/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	243													
26	26	75/2	75/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	244													
27	27	39	39	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	245	Le-	mich	Geist										
27	27	39	39	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	246										17			
27	27	39	39	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	247													
27	27	157/4	157/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	248													
27	27	79/2	79/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	249													
