mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	0.5	0	3/8	3/4	3	1	Ab.I{		Ab	I		I		I						{	M	0	0	0, 4, 1		0	0
1	0	1/2	1/2	0.5	1/8	1/2	3/4	3	1	viio6		Ab	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
1	0	1	1	0.5	1/4	5/8	3/4	3	1	viio/IV		Ab	I		viio/IV		vii	o			IV			o	0	0	4, 1, -2		4	4
2	1	3/2	3/2	1.0	0	0	3/4	3	1	I[IV64	vi6	Ab	I	I	IV64		IV		64					M	0	0	0, -1, 3		-1	0
2	1	5/2	5/2	0.5	1/4	1/4	3/4	3	1	viio64/V		Ab	I	I	viio64/V		vii	o	64		V			o	0	0	0, 6, 3		6	0
2	1	3	3	1.0	3/8	3/8	3/4	3	1	viio43		Ab	I	I	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
2	1	4	4	1.5	5/8	5/8	3/4	3	1	viio65		Ab	I	I	viio65		vii	o	65					o7	0	0	2, -1, -4, 5		5	2
3	2	11/2	11/2	1.0	1/4	1/4	3/4	3	1	I]		Ab	I	I	I		I							M	0	0	0, 4, 1		0	0
3	2	13/2	13/2	0.5	1/2	1/2	3/4	3	1	vi7		Ab	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
3	2	7	7	0.5	5/8	5/8	3/4	3	1	V6		Ab	I		V6		V		6					M	0	0	5, 2, 1		1	5
4	3	15/2	15/2	0.5	0	0	3/4	3	1	vi6		Ab	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
4	3	8	8	0.5	1/8	1/8	3/4	3	1	viio2/V		Ab	I		viio2/V		vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
4	3	17/2	17/2	3.0	1/4	1/4	3/4	3	1	V(9#7b64)		Ab	I		V(9#7b64)		V			9#7b64				M	0	0	1, 0, -3	3, 6	1	1
5	4	23/2	23/2	0.5	1/4	1/4	3/4	3	1	V|HC}		Ab	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
5	4	12	12	0.5	3/8	3/8	3/4	3	1	I{		Ab	I		I		I						{	M	0	0	0, 4, 1		0	0
5	4	25/2	25/2	0.5	1/2	1/2	3/4	3	1	viio6		Ab	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
5	4	13	13	0.5	5/8	5/8	3/4	3	1	viio/IV		Ab	I		viio/IV		vii	o			IV			o	0	0	4, 1, -2		4	4
6	5	27/2	27/2	1.0	0	0	3/4	3	1	I[IV64	vi6	Ab	I	I	IV64		IV		64					M	0	0	0, -1, 3		-1	0
6	5	29/2	29/2	0.5	1/4	1/4	3/4	3	1	viio64/V		Ab	I	I	viio64/V		vii	o	64		V			o	0	0	0, 6, 3		6	0
6	5	15	15	1.0	3/8	3/8	3/4	3	1	viio43		Ab	I	I	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
6	5	16	16	1.5	5/8	5/8	3/4	3	1	viio65		Ab	I	I	viio65		vii	o	65					o7	0	0	2, -1, -4, 5		5	2
7	6	35/2	35/2	1.0	1/4	1/4	3/4	3	1	I]		Ab	I	I	I		I							M	0	0	0, 4, 1		0	0
7	6	37/2	37/2	0.5	1/2	1/2	3/4	3	1	V6		Ab	I		V6		V		6					M	0	0	5, 2, 1		1	5
7	6	19	19	0.5	5/8	5/8	3/4	3	1	IV6/V		Ab	I		IV6/V		IV		6		V			M	0	0	4, 1, 0		0	4
8	7	39/2	39/2	1.0	0	0	3/4	3	1	V(64)/V		Ab	I		V(64)/V		V			64	V			M	0	0	2, 1, 5		2	2
8	7	41/2	41/2	1.0	1/4	1/4	3/4	3	1	V7(94)/V		Ab	I		V7(94)/V		V		7	94	V			Mm7	0	0	2, 1, 3, 0	4	2	2
8	7	43/2	43/2	1.0	1/2	1/2	3/4	3	1	V7/V		Ab	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
9	8	45/2	45/2	2.0	0	0	3/4	3	1	V|HC}{		Ab	I		V		V					HC	}{	M	0	0	1, 5, 2		1	1
9	8	49/2	49/2	0.5	1/2	1/2	3/4	3	1	V7		Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	25	25	0.5	5/8	5/8	3/4	3	1	V(964)		Ab	I		V(964)		V			964				M	0	0	1, 0, 4	3	1	1
10	9	51/2	51/2	0.5	0	0	3/4	3	1	V7		Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	9	26	26	0.5	1/8	1/8	3/4	3	1	V(64)		Ab	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
10	9	53/2	53/2	1.0	1/4	1/4	3/4	3	1	V7		Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	9	55/2	55/2	1.0	1/2	1/2	3/4	3	1	V(9#7b64)		Ab	I		V(9#7b64)		V			9#7b64				M	0	0	1, 0, -3	3, 6	1	1
11	10	57/2	57/2	2.0	0	0	3/4	3	1	V		Ab	I		V		V							M	0	0	1, 5, 2		1	1
11	10	61/2	61/2	0.5	1/2	1/2	3/4	3	1	V7		Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	10	31	31	0.5	5/8	5/8	3/4	3	1	V(964)		Ab	I		V(964)		V			964				M	0	0	1, 0, 4	3	1	1
12	11	63/2	63/2	0.5	0	0	3/4	3	1	V7		Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	11	32	32	0.5	1/8	1/8	3/4	3	1	V(64)		Ab	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
12	11	65/2	65/2	0.5	1/4	1/4	3/4	3	1	V7		Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	11	33	33	2.5	3/8	3/8	3/4	3	1	V(9#7b64)		Ab	I		V(9#7b64)		V			9#7b64				M	0	0	1, 0, -3	3, 6	1	1
13	12	71/2	71/2	0.5	1/4	1/4	3/4	3	1	V}		Ab	I		V		V						}	M	0	0	1, 5, 2		1	1
13	12	36	36	0.5	3/8	3/8	3/4	3	1	IV6{		Ab	I		IV6		IV		6				{	M	0	0	3, 0, -1		-1	3
13	12	73/2	73/2	0.5	1/2	1/2	3/4	3	1	V(64)/iii		Ab	I		V(64)/iii		V			64	iii			M	0	0	5, 4, 1		5	5
13	12	37	37	0.5	5/8	5/8	3/4	3	1	V7/iii		Ab	I		V7/iii		V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
14	13	75/2	75/2	1.0	0	0	3/4	3	1	iii(9#74)		Ab	I		iii(9#74)		iii			9#74				m	0	0	4, 3, 5	-1, 9	4	4
14	13	77/2	77/2	0.5	1/4	1/4	3/4	3	1	iii		Ab	I		iii		iii							m	0	0	4, 1, 5		4	4
14	13	39	39	0.5	3/8	3/8	3/4	3	1	iv/ii		Ab	I		iv/ii		iv				ii			m	0	0	1, -2, 2		1	1
14	13	79/2	79/2	0.5	1/2	1/2	3/4	3	1	V(64)/ii		Ab	I		V(64)/ii		V			64	ii			M	0	0	3, 2, -1		3	3
14	13	40	40	0.5	5/8	5/8	3/4	3	1	V7/ii		Ab	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
15	14	81/2	81/2	1.0	0	0	3/4	3	1	ii(9#74)		Ab	I		ii(9#74)		ii			9#74				m	0	0	2, 1, 3	4, 7	2	2
15	14	83/2	83/2	1.5	1/4	1/4	3/4	3	1	ii		Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
15	14	43	43	0.5	5/8	5/8	3/4	3	1	vi64		Ab	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
16	15	87/2	87/2	1.0	0	0	3/4	3	1	ii65		Ab	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
16	15	89/2	89/2	1.0	1/4	1/4	3/4	3	1	vii%43		Ab	I		vii%43		vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
16	15	91/2	91/2	1.0	1/2	1/2	3/4	3	1	Fr6/vi		Ab	I		Fr6/vi	Fr	V		43	b5	V/vi			Fr	0	0	-1, 3, 5, 9		5	-1
17	16	93/2	93/2	1.0	0	0	3/4	3	1	V(#764)/vi		Ab	I		V(#764)/vi		V			#764	vi			M	0	0	4, 3, 0	9	4	4
17	16	95/2	95/2	1.0	1/4	1/4	3/4	3	1	V/vi|HC}		Ab	I		V/vi		V				vi	HC	}	M	0	0	4, 8, 5		4	4
17	16	97/2	97/2	1.0	1/2	1/2	3/4	3	1	V7/vi{		Ab	I		V7/vi		V		7		vi		{	Mm7	0	0	4, 8, 5, 2		4	4
18	17	99/2	99/2	0.5	0	0	3/4	3	1	IV		Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
18	17	50	50	0.5	1/8	1/8	3/4	3	1	viio43		Ab	I		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
18	17	101/2	101/2	0.5	1/4	1/4	3/4	3	1	I6		Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
18	17	51	51	0.5	3/8	3/8	3/4	3	1	#viio43/ii		Ab	I		#viio43/ii		#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
18	17	103/2	103/2	0.5	1/2	1/2	3/4	3	1	ii6		Ab	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
18	17	52	52	0.5	5/8	5/8	3/4	3	1	V64/ii		Ab	I		V64/ii		V		64		ii			M	0	0	4, 3, 7		3	4
19	18	105/2	105/2	2.0	0	0	3/4	3	1	ii		Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
19	18	109/2	109/2	1.0	1/2	1/2	3/4	3	1	ii2		Ab	I		ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
20	19	111/2	111/2	1.0	0	0	3/4	3	1	V65		Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
20	19	113/2	113/2	2.0	1/4	1/4	3/4	3	1	ii2		Ab	I		ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
21	20	117/2	117/2	1.0	0	0	3/4	3	1	V65(13)		Ab	I		V65(13)		V		65	13				Mm7	0	0	5, 2, -1, 1	4	1	5
21	20	119/2	119/2	0.5	1/4	1/4	3/4	3	1	V65}		Ab	I		V65		V		65				}	Mm7	0	0	5, 2, -1, 1		1	5
21	20	60	60	0.5	3/8	3/8	3/4	3	1	I{		Ab	I		I		I						{	M	0	0	0, 4, 1		0	0
21	20	121/2	121/2	0.5	1/2	1/2	3/4	3	1	viio6		Ab	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
21	20	61	61	0.5	5/8	5/8	3/4	3	1	viio/IV		Ab	I		viio/IV		vii	o			IV			o	0	0	4, 1, -2		4	4
22	21	123/2	123/2	1.0	0	0	3/4	3	1	I[IV64	vi6	Ab	I	I	IV64		IV		64					M	0	0	0, -1, 3		-1	0
22	21	125/2	125/2	0.5	1/4	1/4	3/4	3	1	viio64/V		Ab	I	I	viio64/V		vii	o	64		V			o	0	0	0, 6, 3		6	0
22	21	63	63	1.0	3/8	3/8	3/4	3	1	viio43		Ab	I	I	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
22	21	64	64	1.5	5/8	5/8	3/4	3	1	viio65		Ab	I	I	viio65		vii	o	65					o7	0	0	2, -1, -4, 5		5	2
23	22	131/2	131/2	1.0	1/4	1/4	3/4	3	1	I]}{		Ab	I	I	I		I						}{	M	0	0	0, 4, 1		0	0
23	22	133/2	133/2	0.5	1/2	1/2	3/4	3	1	vi7		Ab	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
23	22	67	67	0.5	5/8	5/8	3/4	3	1	V6		Ab	I		V6		V		6					M	0	0	5, 2, 1		1	5
24	23	135/2	135/2	0.5	0	0	3/4	3	1	vi6		Ab	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
24	23	68	68	0.5	1/8	1/8	3/4	3	1	viio2/V		Ab	I		viio2/V		vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
24	23	137/2	137/2	3.0	1/4	1/4	3/4	3	1	V(9#7b64)		Ab	I		V(9#7b64)		V			9#7b64				M	0	0	1, 0, -3	3, 6	1	1
25	24	143/2	143/2	0.5	1/4	1/4	3/4	3	1	V|HC}		Ab	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
25	24	72	72	0.5	3/8	3/8	3/4	3	1	I{		Ab	I		I		I						{	M	0	0	0, 4, 1		0	0
25	24	145/2	145/2	0.5	1/2	1/2	3/4	3	1	viio6		Ab	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
25	24	73	73	0.5	5/8	5/8	3/4	3	1	viio/IV		Ab	I		viio/IV		vii	o			IV			o	0	0	4, 1, -2		4	4
26	25	147/2	147/2	1.0	0	0	3/4	3	1	IV		Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
26	25	149/2	149/2	0.5	1/4	1/4	3/4	3	1	viio6/V		Ab	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
26	25	75	75	0.5	3/8	3/8	3/4	3	1	V65		Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
26	25	151/2	151/2	0.5	1/2	1/2	3/4	3	1	I		Ab	I		I		I							M	0	0	0, 4, 1		0	0
26	25	76	76	0.5	5/8	5/8	3/4	3	1	V43		Ab	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
27	26	153/2	153/2	0.5	0	0	3/4	3	1	I6		Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
27	26	77	77	0.5	1/8	1/8	3/4	3	1	V65/IV		Ab	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
27	26	155/2	155/2	0.5	1/4	1/4	3/4	3	1	IV		Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
27	26	78	78	0.5	3/8	3/8	3/4	3	1	I64		Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
27	26	157/2	157/2	0.5	1/2	1/2	3/4	3	1	ii43		Ab	I		ii43		ii		43					mm7	0	0	3, 0, 2, -1		2	3
27	26	79	79	0.5	5/8	5/8	3/4	3	1	ii7		Ab	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
28	27	159/2	159/2	2.5	0	0	3/4	3	1	V(64)		Ab	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
28	27	82	82	0.5	5/8	5/8	3/4	3	1	V7		Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
29	28	165/2	165/2	2.0	0	0	3/4	3	1	I[I|PAC}{		Ab	I	I	I		I					PAC	}{	M	0	0	0, 4, 1		0	0
29	28	169/2	169/2	0.5	1/2	1/2	3/4	3	1	viio(+2)		Ab	I	I	viio(+2)		vii	o		+2				o	0	0	5, 2, -1	0	5	5
29	28	85	85	0.5	5/8	5/8	3/4	3	1	V7/IV		Ab	I	I	V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
30	29	171/2	171/2	0.5	0	0	3/4	3	1	IV64		Ab	I	I	IV64		IV		64					M	0	0	0, -1, 3		-1	0
30	29	86	86	0.5	1/8	1/8	3/4	3	1	V		Ab	I	I	V		V							M	0	0	1, 5, 2		1	1
30	29	173/2	173/2	1.0	1/4	1/4	3/4	3	1	IV64		Ab	I	I	IV64		IV		64					M	0	0	0, -1, 3		-1	0
30	29	175/2	175/2	1.0	1/2	1/2	3/4	3	1	viio43		Ab	I	I	viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
31	30	177/2	177/2	12.0	0	0	3/4	3	1	I]}		Ab	I	I	I		I						}	M	0	0	0, 4, 1		0	0
