mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.Db.I		Db	I		I	I						M	0	0	0, 4, 1		0	0
2	2	0	viio43(#2)/V		Db	I		viio43(#2)/V	vii	o	43	#2	V		o7	0	0	0, -3, 6, 8		6	0
2	2	1/4	viio43/V		Db	I		viio43/V	vii	o	43		V		o7	0	0	0, -3, 6, 3		6	0
3	3	0	V6		Db	I		V6	V		6				M	0	0	5, 2, 1		1	5
4	4	0	viio43(#2)/IV		Db	I		viio43(#2)/IV	vii	o	43	#2	IV		o7	0	0	-2, -5, 4, 6		4	-2
4	4	1/4	viio43/IV		Db	I		viio43/IV	vii	o	43		IV		o7	0	0	-2, -5, 4, 1		4	-2
5	5	0	IV6		Db	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
6	6	0	V2(#11)/iii		Db	I		V2(#11)/iii	V		2	#11	iii		Mm7	0	0	3, 5, 9, 6	11	5	3
6	6	1/4	V2/iii		Db	I		V2/iii	V		2		iii		Mm7	0	0	3, 5, 9, 6		5	3
7	7	0	iii6		Db	I		iii6	iii		6				m	0	0	1, 5, 4		4	1
7	7	3/16	#viio43/ii		Db	I		#viio43/ii	#vii	o	43		ii		o7	0	0	1, -2, 7, 4		7	1
8	8	0	ii6		Db	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
8	8	3/16	V7		Db	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
9	9	0	I[I		Db	I	I	I	I						M	0	0	0, 4, 1		0	0
9	9	3/16	viio65		Db	I	I	viio65	vii	o	65				o7	0	0	2, -1, -4, 5		5	2
10	10	0	vi6		Db	I	I	vi6	vi		6				m	0	0	0, 4, 3		3	0
10	10	3/16	#viio65/vi		Db	I	I	#viio65/vi	#vii	o	65		vi		o7	0	0	5, 2, -1, 8		8	5
11	11	0	vi6		Db	I	I	vi6	vi		6				m	0	0	0, 4, 3		3	0
11	11	3/16	#viio43/ii		Db	I	I	#viio43/ii	#vii	o	43		ii		o7	0	0	1, -2, 7, 4		7	1
12	12	0	ii64		Db	I	I	ii64	ii		64				m	0	0	3, 2, -1		2	3
12	12	3/16	#viio65/ii		Db	I	I	#viio65/ii	#vii	o	65		ii		o7	0	0	4, 1, -2, 7		7	4
13	13	0	ii6		Db	I	I	ii6	ii		6				m	0	0	-1, 3, 2		2	-1
14	14	0	ii64		Db	I	I	ii64	ii		64				m	0	0	3, 2, -1		2	3
14	14	3/16	ii		Db	I	I	ii	ii						m	0	0	2, -1, 3		2	2
15	15	0	V43(4)		Db	I	I	V43(4)	V		43	4			Mm7	0	0	2, -1, 1, 0		1	2
15	15	1/4	V		Db	I	I	V	V						M	0	0	1, 5, 2		1	1
16	16	0	IV64		Db	I	I	IV64	IV		64				M	0	0	0, -1, 3		-1	0
16	16	1/4	V6		Db	I	I	V6	V		6				M	0	0	5, 2, 1		1	5
17	17	0	I]\\		Db	I	I	I	I					\\	M	0	0	0, 4, 1		0	0
18	18	0	viio43/III		Db	I		viio43/III	vii	o	43		III		o7	0	0	3, 0, 9, 6		9	3
19	19	0	III		Db	I		III	III						M	0	0	4, 8, 5		4	4
20	20	0	III6		Db	I		III6	III		6				M	0	0	8, 5, 4		4	8
21	21	0	V7(4)/III		Db	I		V7(4)/III	V		7	4	III		Mm7	0	0	5, 4, 6, 3		5	5
22	22	0	V7/III		Db	I		V7/III	V		7		III		Mm7	0	0	5, 9, 6, 3		5	5
23	23	0	III\\		Db	I		III	III					\\	M	0	0	4, 8, 5		4	4
25	25	0	ii		Db	I		ii	ii						m	0	0	2, -1, 3		2	2
26	26	0	ii2		Db	I		ii2	ii		2				mm7	0	0	0, 2, -1, 3		2	0
27	27	0	vii%7		Db	I		vii%7	vii	%	7				%7	0	0	5, 4, 11, 3		5	5
28	28	0	V65		Db	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
29	29	0	ii64		Db	I		ii64	ii		64				m	0	0	3, 2, -1		2	3
30	30	0	ii%43		Db	I		ii%43	ii	%	43				%7	0	0	8, 0, 2, 1		2	8
31	31	0	V7(4)		Db	I		V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
32	32	0	V7\\		Db	I		V7	V		7			\\	Mm7	0	0	1, 5, 2, -1		1	1
33	33	0	V6/vi		Db	I		V6/vi	V		6		vi		M	0	0	8, 5, 4		4	8
33	33	1/4	V65/vi		Db	I		V65/vi	V		65		vi		Mm7	0	0	8, 5, 2, 4		4	8
34	34	0	V7(6)/vi		Db	I		V7(6)/vi	V		7	6	vi		Mm7	0	0	4, 8, 0, 2		4	4
34	34	1/4	V7/vi		Db	I		V7/vi	V		7		vi		Mm7	0	0	4, 8, 5, 2		4	4
35	35	0	vi[vi		Db	I	vi	vi	vi						m	0	0	3, 0, 4		3	3
35	35	3/16	#viio43(4)/vi		Db	I	vi	#viio43(4)/vi	#vii	o	43	4	vi		o7	0	0	2, -1, 8, 0		8	2
36	36	0	vi]		Db	I	vi	vi	vi						m	0	0	3, 0, 4		3	3
36	36	1/4	V+7/IV		Db	I		V+7/IV	V	+	7		IV		+7	0	0	0, 4, 8, -2		0	0
37	37	0	IV		Db	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
38	38	0	viio43		Db	I		viio43	vii	o	43				o7	0	0	-1, -4, 5, 2		5	-1
39	39	0	I\\		Db	I		I	I					\\	M	0	0	0, 4, 1		0	0
40	40	0	viio43(#2)/V		Db	I		viio43(#2)/V	vii	o	43	#2	V		o7	0	0	0, -3, 6, 8		6	0
40	40	1/4	viio43/V		Db	I		viio43/V	vii	o	43		V		o7	0	0	0, -3, 6, 3		6	0
41	41	0	V6	1	Db	I		V6	V		6				M	0	0	5, 2, 1		1	5
42	42	0	viio43(#2)/IV	1	Db	I		viio43(#2)/IV	vii	o	43	#2	IV		o7	0	0	-2, -5, 4, 6		4	-2
42	42	1/4	viio43/IV	1	Db	I		viio43/IV	vii	o	43		IV		o7	0	0	-2, -5, 4, 1		4	-2
43	43	0	IV6	1	Db	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
44	44	0	V2(#11)/iii	1	Db	I		V2(#11)/iii	V		2	#11	iii		Mm7	0	0	3, 5, 9, 6	11	5	3
44	44	1/4	V2/iii	1	Db	I		V2/iii	V		2		iii		Mm7	0	0	3, 5, 9, 6		5	3
45	45	0	iii6	1	Db	I		iii6	iii		6				m	0	0	1, 5, 4		4	1
45	45	3/16	#viio43/ii	1	Db	I		#viio43/ii	#vii	o	43		ii		o7	0	0	1, -2, 7, 4		7	1
46	46	0	ii6	1	Db	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
46	46	3/16	V7	1	Db	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
47	46	0	I[V6	2	Db	I	I	V6	V		6				M	0	0	5, 2, 1		1	5
48	47	0	viio7(#2)/IV		Db	I	I	viio7(#2)/IV	vii	o	7	#2	IV		o7	0	0	4, 6, -2, -5		4	4
48	47	1/4	viio7/IV		Db	I	I	viio7/IV	vii	o	7		IV		o7	0	0	4, 1, -2, -5		4	4
49	48	0	IV64		Db	I	I	IV64	IV		64				M	0	0	0, -1, 3		-1	0
50	49	0	viio2		Db	I	I	viio2	vii	o	2				o7	0	0	-4, 5, 2, -1		5	-4
50	49	3/16	V7/IV		Db	I	I	V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
51	50	0	V2/V		Db	I	I	V2/V	V		2		V		Mm7	0	0	0, 2, 6, 3		2	0
52	51	0	ii%2		Db	I	I	ii%2	ii	%	2				%7	0	0	0, 2, 1, 8		2	0
52	51	3/16	V7(6)		Db	I	I	V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1	1
53	52	0	I]\\		Db	I	I	I	I					\\	M	0	0	0, 4, 1		0	0
